vt_PGAout X,vt_PGAout Y,vt_muxOut X,vt_muxOut Y,t_ADC_INN X,t_ADC_INN Y,t_ext_in1 X,t_ext_in1 Y,/EXT_IN<1> X,/EXT_IN<1> Y
0,0,0,-9.834790232698306e-07,0,0,0,0,0,0
1.25e-09,0.1067032399310597,1.25e-09,0.06840528177529825,1.25e-09,0.07244825163645024,1.25e-09,0,1.25e-09,0
2.0729679011e-09,0.1779022035615802,2.0729679011e-09,0.1134596771271719,2.0729679011e-09,0.1201401418624105,2.0729679011e-09,0,2.0729679011e-09,0
3.7189037033e-09,0.3206212391404581,3.7189037033e-09,0.2032163634036845,3.7189037033e-09,0.2148902244170131,3.7189037033e-09,0,3.7189037033e-09,0
4.1916666666e-09,0.3615177715458329,4.1916666666e-09,0.2282125691548382,4.1916666666e-09,0.2415910244339753,4.1916666666e-09,0,4.1916666666e-09,0
4.288048e-09,0.3698417278385986,4.288048e-09,0.2331148447794079,4.288048e-09,0.2469848938629345,4.288048e-09,0,4.288048e-09,0
4.3916666666e-09,0.3787813565925081,4.3916666666e-09,0.2382025340955067,4.3916666666e-09,0.2527508805350155,4.3916666666e-09,0,4.3916666666e-09,0
4.488048e-09,0.3870873391656848,4.488048e-09,0.2427380884757698,4.488048e-09,0.2580812095040312,4.488048e-09,0,4.488048e-09,0
4.4992041787e-09,0.3880486970879014,4.4992041787e-09,0.2432598906350758,4.4992041787e-09,0.2586976943931755,4.4992041787e-09,0,4.4992041787e-09,0
4.5215165361e-09,0.3899711579384301,4.5215165361e-09,0.2442971182876092,4.5215165361e-09,0.2599296880178118,4.5215165361e-09,0,4.5215165361e-09,0
4.566141250899999e-09,0.3938143635724751,4.566141250899999e-09,0.246331636192162,4.566141250899999e-09,0.2623876237212592,4.566141250899999e-09,0,4.566141250899999e-09,0
4.6553906806e-09,0.4014932376443598,4.6553906806e-09,0.2502254216110714,4.6553906806e-09,0.267277271040594,4.6553906806e-09,0,4.6553906806e-09,0
